Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,EL_to_HTH,0,0,0
1,EL_to_NH3,0,0,0
2,NH3_Storage,0,0,0
3,NH3_to_EL,0,0,0
4,EL_Demand,0,0,0
5,NH3_to_HTH,0,0,0
6,HTH_Demand,0,0,0
7,RE_PV,0,0,2
8,RE_WIND,0,0,1
9,BESS,0,0,0
10,EL_to_HTH,1,1,0
11,EL_to_NH3,1,1,0
12,NH3_Storage,1,1,0
13,NH3_to_EL,1,1,0
14,EL_Demand,1,1,0
15,NH3_to_HTH,1,1,0
16,HTH_Demand,1,1,0
17,RE_PV,1,1,2
18,RE_WIND,1,1,1
19,BESS,1,1,0
20,NH3_Transport,0,1,0
21,EL_Transport,0,1,0
