Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,RE_PV,0,0,0
1,RE_WIND,0,0,0
2,BESS,0,0,0
3,EL_Demand,0,0,0
4,NH3_to_EL,0,0,0
5,NH3_Storage,0,0,0
6,EL_to_NH3,0,0,0
7,NH3_to_HTH,0,0,0
8,HTH_Demand,0,0,0
9,EL_to_HTH,0,0,0
10,CO2_Budget,0,0,1
11,PP_CO2,0,0,0
