Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,0,0,1372
1,PP_CO2,0,0,0
2,PP_CO2,0,0,24
3,BESS,0,0,0
4,EL_Demand,0,0,0
5,EL_Transport,0,1,0
6,RE_WIND_Onshore_BAU,1,1,0
