Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,RE_PV,1,1,0
1,RE_WIND,1,1,0
2,BESS,1,1,0
3,EL_Demand,1,1,0
4,NH3_to_EL,1,1,1
5,NH3_Storage,1,1,0
6,EL_to_NH3,1,1,1
7,NH3_to_HTH,1,1,0
8,HTH_Demand,1,1,0
9,EL_to_HTH,1,1,0
