Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,0,0,0,10,1,0
1,PP_CO2,0,0,0,10,1,0
2,PP_CO2,0,0,0,10,1,0
3,BESS,0,0,0,10,1,0
4,EL_Demand,0,0,0,10,1,0
5,EL_Transport,0,1,0,10,1,0
6,RE_WIND_Onshore_BAU,1,1,0,10,1,0
