Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit
0,0.6,G$/GWp,175200,h,PVOUT,24,0,2.764361365,GWp
1,0.6,G$/GWp,175200,h,PVOUT,24,0,194.6983221,GWp
